BATCH no.,PRODUCTION DATE,BATCH OUT OF STORAGE,BATCH WEIGHT LEAVING STORAGE (KG)
4181,11/10/2023,11/13/2023,260.000
4182,11/10/2023,11/13/2023,278.000
4183,11/10/2023,11/13/2023,277.000
4184,11/10/2023,11/13/2023,266.000
4185,11/10/2023,11/13/2023,279.000
4186,11/10/2023,11/13/2023,261.000
4187,11/10/2023,11/13/2023,274.400
4188,11/10/2023,11/13/2023,268.700
4190,11/10/2023,11/13/2023,264.200
4191,11/10/2023,11/13/2023,270.900
4192,11/10/2023,11/13/2023,268.300
4193,11/10/2023,11/13/2023,271.900
4194,11/10/2023,11/13/2023,279.800
4195,11/10/2023,11/13/2023,269.700
4196,11/10/2023,11/13/2023,266.900
4197,11/10/2023,11/13/2023,266.000
4198,11/10/2023,11/13/2023,274.100
4199,11/10/2023,11/13/2023,273.900
4200,11/10/2023,11/13/2023,259.300
4202,11/10/2023,11/13/2023,267.100
4203,11/10/2023,11/13/2023,268.200
4207,11/10/2023,11/13/2023,271.900
4208,11/10/2023,11/13/2023,269.300
4209,11/10/2023,11/13/2023,269.500
4210,11/10/2023,11/13/2023,269.300
4211,11/10/2023,11/13/2023,261.100
4212,11/10/2023,11/13/2023,273.400
4213,11/10/2023,11/13/2023,265.600
4214,11/10/2023,11/13/2023,271.600
4215,11/10/2023,11/13/2023,267.700
4216,11/10/2023,11/13/2023,270.900
4217,11/10/2023,11/13/2023,271.600
4218,11/10/2023,11/13/2023,269.500
4219,11/10/2023,11/13/2023,275.000
4220,11/10/2023,11/13/2023,283.700
4221,11/10/2023,11/13/2023,270.900
4222,11/10/2023,11/13/2023,270.000
4223,11/10/2023,11/13/2023,275.300
4224,11/10/2023,11/13/2023,274.100
4225,11/10/2023,11/13/2023,267.700
4226,11/10/2023,11/13/2023,271.000
4227,11/10/2023,11/13/2023,270.300
4228,11/10/2023,11/13/2023,270.600
4229,11/10/2023,11/13/2023,271.700
4230,11/10/2023,11/13/2023,269.200
4231,11/10/2023,11/13/2023,269.500
4232,11/10/2023,11/13/2023,272.000
4233,11/10/2023,11/13/2023,266.600
4234,11/10/2023,11/13/2023,273.100
4235,11/10/2023,11/13/2023,271.600
4236,11/10/2023,11/13/2023,273.900
4237,11/10/2023,11/13/2023,279.600
4238,11/10/2023,11/13/2023,267.400
4239,11/10/2023,11/13/2023,270.600
4240,11/10/2023,11/13/2023,260.700
4241,11/10/2023,11/13/2023,255.000
4242,11/10/2023,11/13/2023,255.000
4243,11/10/2023,11/13/2023,263.000
4244,11/10/2023,11/13/2023,266.000
4245,11/10/2023,11/13/2023,275.400
4246,11/10/2023,11/13/2023,268.000
4248,11/10/2023,11/13/2023,267.000
4249,11/10/2023,11/13/2023,265.000
4251,11/10/2023,11/13/2023,259.000
4252,11/10/2023,11/13/2023,128.000
4458,11/13/2023,11/15/2023,268.300
4459,11/13/2023,11/15/2023,266.300
4460,11/13/2023,11/15/2023,264.000
4464,11/13/2023,11/15/2023,264.000
4465,11/13/2023,11/15/2023,264.000
4467,11/13/2023,11/15/2023,277.900
4468,11/13/2023,11/15/2023,263.000
4473,11/13/2023,11/15/2023,280.000
4476,11/13/2023,11/15/2023,268.000
4477,11/13/2023,11/15/2023,263.000
4478,11/13/2023,11/15/2023,279.000
4479,11/13/2023,11/15/2023,272.000
4484,11/13/2023,11/15/2023,275.800
4486,11/13/2023,11/15/2023,274.900
4491,11/13/2023,11/15/2023,274.500
4496,11/13/2023,11/15/2023,278.300
4497,11/13/2023,11/15/2023,276.400
4500,11/13/2023,11/15/2023,266.700
4501,11/13/2023,11/15/2023,282.100
4504,11/13/2023,11/15/2023,282.600
4505,11/13/2023,11/15/2023,272.000
4506,11/13/2023,11/15/2023,279.500
4513,11/13/2023,11/15/2023,262.000
4514,11/13/2023,11/15/2023,266.000
4515,11/13/2023,11/15/2023,268.000
4516,11/13/2023,11/15/2023,264.000
4518,11/13/2023,11/15/2023,268.000
4521,11/13/2023,11/15/2023,270.000
4523,11/13/2023,11/15/2023,88.000
4485,11/15/2023,11/15/2023,281.300
4487,11/15/2023,11/15/2023,280.500
4492,11/15/2023,11/15/2023,280.900
4493,11/15/2023,11/15/2023,268.900
4494,11/15/2023,11/15/2023,262.100
4495,11/15/2023,11/15/2023,284.800
4561,11/15/2023,11/15/2023,266.300
4563,11/15/2023,11/15/2023,268.100
4564,11/15/2023,11/15/2023,265.200
4565,11/15/2023,11/15/2023,269.800
4572,11/15/2023,11/15/2023,264.900
4574,11/15/2023,11/15/2023,274.600
4583,11/15/2023,11/15/2023,263.600
4584,11/15/2023,11/15/2023,273.400
4585,11/15/2023,11/15/2023,260.200
4586,11/15/2023,11/15/2023,262.600
4587,11/15/2023,11/15/2023,274.100
4588,11/15/2023,11/15/2023,265.600
4591,11/15/2023,11/15/2023,273.700
4593,11/15/2023,11/15/2023,267.400
4594,11/15/2023,11/15/2023,270.100
4597,11/15/2023,11/15/2023,266.400
4599,11/15/2023,11/15/2023,266.100
4601,11/15/2023,11/15/2023,260.100
4603,11/15/2023,11/15/2023,261.800
4605,11/15/2023,11/15/2023,255.900
4607,11/15/2023,11/15/2023,265.300
4609,11/15/2023,11/15/2023,275.800
4635,11/15/2023,11/15/2023,269.400
4636,11/15/2023,11/15/2023,269.300
4637,11/15/2023,11/15/2023,271.000
4639,11/15/2023,11/15/2023,210.400
4640,11/15/2023,11/15/2023,267.000
4641,11/15/2023,11/15/2023,272.500
4642,11/15/2023,11/15/2023,275.600
4645,11/15/2023,11/15/2023,261.300
4646,11/15/2023,11/15/2023,283.900
4653,11/15/2023,11/15/2023,269.100
4654,11/15/2023,11/15/2023,272.000
4657,11/15/2023,11/15/2023,263.000
4658,11/15/2023,11/15/2023,275.000
4660,11/15/2023,11/15/2023,267.000
4661,11/15/2023,11/15/2023,258.000
4663,11/15/2023,11/15/2023,267.000
4664,11/15/2023,11/15/2023,266.000
4667,11/15/2023,11/15/2023,261.000
4668,11/15/2023,11/15/2023,265.000
4669,11/15/2023,11/15/2023,266.000
4671,11/15/2023,11/15/2023,274.000
4681,11/15/2023,11/15/2023,269.700
4682,11/15/2023,11/15/2023,268.600
4683,11/15/2023,11/15/2023,271.500
4684,11/15/2023,11/15/2023,269.700
4688,11/15/2023,11/15/2023,266.800
4690,11/15/2023,11/16/2023,267.600
4691,11/15/2023,11/15/2023,274.000
4693,11/15/2023,11/23/2023,265.200
4696,11/15/2023,11/15/2023,268.200
4697,11/15/2023,11/15/2023,275.300
4700,11/15/2023,11/15/2023,270.000
4703,11/15/2023,11/16/2023,271.400
4704,11/15/2023,11/16/2023,267.200
4705,11/15/2023,11/16/2023,277.200
4709,11/15/2023,11/16/2023,279.000
4714,11/15/2023,11/16/2023,279.400
4716,11/15/2023,11/16/2023,272.300
4717,11/15/2023,11/16/2023,268.100
4718,11/15/2023,11/16/2023,266.900
4719,11/15/2023,11/16/2023,267.500
4721,11/15/2023,11/16/2023,265.800
4726,11/15/2023,11/16/2023,265.800
4730,11/15/2023,11/16/2023,266.800
4732,11/15/2023,11/16/2023,267.700
4735,11/15/2023,11/16/2023,282.600
4739,11/15/2023,11/16/2023,272.000
4741,11/15/2023,11/16/2023,273.000
4742,11/15/2023,11/16/2023,276.700
4744,11/15/2023,11/16/2023,266.300
4745,11/15/2023,11/16/2023,269.700
4749,11/15/2023,11/16/2023,269.000
4750,11/15/2023,11/16/2023,278.000
4751,11/15/2023,11/16/2023,278.000
4752,11/15/2023,11/16/2023,266.000
4753,11/15/2023,11/16/2023,269.000
4754,11/15/2023,11/16/2023,273.000
4755,11/15/2023,11/16/2023,273.000
4756,11/15/2023,11/16/2023,273.000
4757,11/15/2023,11/16/2023,274.000
4761,11/15/2023,11/16/2023,285.000
4762,11/15/2023,11/16/2023,271.000
4763,11/15/2023,11/16/2023,284.000
4765,11/15/2023,11/16/2023,273.000
4767,11/15/2023,11/16/2023,275.000
4771,11/15/2023,11/16/2023,283.000
4772,11/15/2023,11/16/2023,276.000
4773,11/15/2023,11/16/2023,270.000
4774,11/15/2023,11/16/2023,270.000
4779,11/15/2023,11/16/2023,279.000
4780,11/15/2023,11/23/2023,269.600
4783,11/15/2023,11/16/2023,274.500
4784,11/15/2023,11/16/2023,282.300
4785,11/15/2023,11/16/2023,273.000
4788,11/15/2023,11/16/2023,270.300
4789,11/15/2023,11/16/2023,266.500
4790,11/15/2023,11/16/2023,269.700
4792,11/15/2023,11/16/2023,267.500
4794,11/15/2023,11/16/2023,268.000
4795,11/15/2023,11/16/2023,267.600
4797,11/15/2023,11/16/2023,275.700
4798,11/15/2023,11/16/2023,267.300
4800,11/15/2023,11/16/2023,265.000
4804,11/15/2023,11/16/2023,266.000
4805,11/15/2023,11/16/2023,274.000
4808,11/15/2023,11/16/2023,271.200
4809,11/15/2023,11/16/2023,275.000
4810,11/15/2023,11/16/2023,264.400
4811,11/15/2023,11/16/2023,270.000
4814,11/15/2023,11/16/2023,267.000
4815,11/15/2023,11/16/2023,267.000
4816,11/15/2023,11/16/2023,280.000
4817,11/15/2023,11/16/2023,262.000
4821,11/15/2023,11/16/2023,263.000
4822,11/15/2023,11/16/2023,263.000
4823,11/15/2023,11/16/2023,269.000
4824,11/15/2023,11/16/2023,263.000
4825,11/15/2023,11/16/2023,270.000
4827,11/15/2023,11/16/2023,266.000
4828,11/15/2023,11/16/2023,265.600
4829,11/15/2023,11/16/2023,263.600
4830,11/15/2023,11/16/2023,276.000
4831,11/15/2023,11/16/2023,265.000
4832,11/15/2023,11/16/2023,272.000
4834,11/15/2023,11/16/2023,113.000
5054,11/15/2023,11/15/2023,268.000
5055,11/15/2023,11/15/2023,275.000
5056,11/15/2023,11/15/2023,271.000
5057,11/15/2023,11/15/2023,270.000
5058,11/15/2023,11/15/2023,272.000
5059,11/15/2023,11/15/2023,268.000
5060,11/15/2023,11/15/2023,266.000
5061,11/15/2023,11/15/2023,260.000
5062,11/15/2023,11/15/2023,269.000
5063,11/15/2023,11/15/2023,272.000
1102,11/17/2023,11/20/2023,268.100
1104,11/17/2023,11/20/2023,269.200
1107,11/17/2023,11/20/2023,268.200
1109,11/17/2023,11/20/2023,267.300
1110,11/17/2023,11/20/2023,275.900
1111,11/17/2023,11/20/2023,267.200
1112,11/17/2023,11/20/2023,275.400
1113,11/17/2023,11/20/2023,265.000
1119,11/17/2023,11/20/2023,275.000
1120,11/17/2023,11/20/2023,272.100
1122,11/17/2023,11/20/2023,277.500
1124,11/17/2023,11/20/2023,287.700
1126,11/17/2023,11/20/2023,273.300
1128,11/17/2023,11/20/2023,289.000
1129,11/17/2023,11/20/2023,269.200
1132,11/17/2023,11/20/2023,274.600
1133,11/17/2023,11/20/2023,271.700
1135,11/17/2023,11/21/2023,268.000
1136,11/17/2023,11/21/2023,275.000
1137,11/17/2023,11/21/2023,279.000
1138,11/17/2023,11/21/2023,272.000
1139,11/17/2023,11/21/2023,264.000
1141,11/17/2023,11/21/2023,279.000
1143,11/17/2023,11/21/2023,270.000
1144,11/17/2023,11/21/2023,274.000
1146,11/17/2023,11/21/2023,274.000
1155,11/17/2023,11/20/2023,276.800
1156,11/17/2023,11/21/2023,274.000
1166,11/17/2023,11/20/2023,281.100
1167,11/17/2023,11/20/2023,270.200
1170,11/17/2023,11/20/2023,271.600
1172,11/17/2023,11/20/2023,284.000
1175,11/17/2023,11/20/2023,273.300
1177,11/17/2023,11/20/2023,279.700
1183,11/17/2023,11/20/2023,277.200
1185,11/17/2023,11/20/2023,275.800
1186,11/17/2023,11/20/2023,276.100
1187,11/17/2023,11/21/2023,276.400
1188,11/17/2023,11/21/2023,273.200
1190,11/17/2023,11/21/2023,282.200
1191,11/17/2023,11/21/2023,276.900
1195,11/17/2023,11/20/2023,270.800
1196,11/17/2023,11/20/2023,264.600
1197,11/17/2023,11/20/2023,271.600
1200,11/17/2023,11/20/2023,274.000
1202,11/17/2023,11/20/2023,272.400
1204,11/17/2023,11/20/2023,275.700
1205,11/17/2023,11/20/2023,276.000
1206,11/17/2023,11/21/2023,276.900
1207,11/17/2023,11/21/2023,262.500
1212,11/17/2023,11/21/2023,272.100
1215,11/17/2023,11/21/2023,270.200
1216,11/17/2023,11/21/2023,276.100
1217,11/17/2023,11/21/2023,280.900
1219,11/17/2023,11/20/2023,266.900
1220,11/17/2023,11/20/2023,278.200
1223,11/17/2023,11/20/2023,271.500
1224,11/17/2023,11/21/2023,270.000
1229,11/17/2023,11/20/2023,269.600
1232,11/17/2023,11/20/2023,277.000
1233,11/17/2023,11/20/2023,269.900
1241,11/17/2023,11/20/2023,271.000
1246,11/17/2023,11/20/2023,258.000
1250,11/17/2023,11/20/2023,255.000
1251,11/17/2023,11/20/2023,265.000
1253,11/17/2023,11/20/2023,263.000
1255,11/17/2023,11/20/2023,263.000
1260,11/17/2023,11/21/2023,267.000
1261,11/17/2023,11/21/2023,264.000
1262,11/17/2023,11/21/2023,266.000
1273,11/17/2023,11/20/2023,260.600
1274,11/17/2023,11/20/2023,268.000
1275,11/17/2023,11/20/2023,268.300
1276,11/17/2023,11/20/2023,269.200
1279,11/17/2023,11/20/2023,271.200
1282,11/17/2023,11/20/2023,269.300
1285,11/17/2023,11/21/2023,267.000
1288,11/17/2023,11/21/2023,270.700
1292,11/17/2023,11/20/2023,273.300
1293,11/17/2023,11/20/2023,268.500
1294,11/17/2023,11/20/2023,263.900
1295,11/17/2023,11/20/2023,278.000
1296,11/17/2023,11/20/2023,271.200
1297,11/17/2023,11/20/2023,274.300
1299,11/17/2023,11/20/2023,269.300
1300,11/17/2023,11/20/2023,287.100
1302,11/17/2023,11/20/2023,280.400
1303,11/17/2023,11/20/2023,273.500
1305,11/17/2023,11/20/2023,287.300
1306,11/17/2023,11/20/2023,270.300
1311,11/17/2023,11/20/2023,277.600
1312,11/17/2023,11/21/2023,273.600
1313,11/17/2023,11/20/2023,269.400
1314,11/17/2023,11/20/2023,281.000
1317,11/17/2023,11/20/2023,278.200
1319,11/17/2023,11/20/2023,284.500
1321,11/17/2023,11/20/2023,277.500
1326,11/17/2023,11/20/2023,276.000
1327,11/17/2023,11/20/2023,264.000
1328,11/17/2023,11/20/2023,273.000
1329,11/17/2023,11/23/2023,278.000
1330,11/17/2023,11/20/2023,272.000
1331,11/17/2023,11/20/2023,266.000
1332,11/17/2023,11/20/2023,268.000
1333,11/17/2023,11/20/2023,280.000
1337,11/17/2023,11/20/2023,267.000
1339,11/17/2023,11/20/2023,280.000
1340,11/17/2023,11/20/2023,275.000
1345,11/17/2023,11/20/2023,268.000
1346,11/17/2023,11/20/2023,286.000
1347,11/17/2023,11/20/2023,268.000
1350,11/17/2023,11/20/2023,280.000
1351,11/17/2023,11/20/2023,274.000
1352,11/17/2023,11/21/2023,279.000
1354,11/17/2023,11/20/2023,274.000
1357,11/17/2023,11/20/2023,276.700
1358,11/17/2023,11/20/2023,267.600
1359,11/17/2023,11/20/2023,270.100
1361,11/17/2023,11/20/2023,219.100
1382,11/20/2023,11/21/2023,279.200
1383,11/20/2023,11/21/2023,279.600
1385,11/20/2023,11/21/2023,287.400
1386,11/20/2023,11/21/2023,270.500
1387,11/20/2023,11/21/2023,275.600
1388,11/20/2023,11/21/2023,277.600
1392,11/20/2023,11/21/2023,272.200
1394,11/20/2023,11/21/2023,281.900
1395,11/20/2023,11/21/2023,269.300
1396,11/20/2023,11/21/2023,282.300
1397,11/20/2023,11/21/2023,274.200
1398,11/20/2023,11/21/2023,269.200
1402,11/20/2023,11/21/2023,283.000
1405,11/20/2023,11/21/2023,275.500
1408,11/20/2023,11/21/2023,282.100
1419,11/20/2023,11/21/2023,283.700
1420,11/20/2023,11/21/2023,281.800
1422,11/20/2023,11/21/2023,274.100
1423,11/20/2023,11/21/2023,278.400
1424,11/20/2023,11/21/2023,282.500
1426,11/20/2023,11/21/2023,282.900
1429,11/20/2023,11/21/2023,269.800
1430,11/20/2023,11/21/2023,275.800
1431,11/20/2023,11/21/2023,270.000
1438,11/20/2023,11/21/2023,281.500
1439,11/20/2023,11/21/2023,280.100
1441,11/20/2023,11/21/2023,268.000
1442,11/20/2023,11/21/2023,269.800
1446,11/20/2023,11/21/2023,274.800
1448,11/20/2023,11/21/2023,275.100
1449,11/20/2023,11/21/2023,276.800
1457,11/20/2023,11/21/2023,283.200
1461,11/20/2023,11/21/2023,277.200
1463,11/20/2023,11/21/2023,278.200
1466,11/20/2023,11/21/2023,281.300
1471,11/20/2023,11/21/2023,276.000
1474,11/20/2023,11/21/2023,263.400
1477,11/20/2023,11/21/2023,275.600
1479,11/20/2023,11/21/2023,280.100
1481,11/20/2023,11/21/2023,271.500
1484,11/20/2023,11/21/2023,269.700
1486,11/20/2023,11/21/2023,276.200
1487,11/20/2023,11/21/2023,264.800
1488,11/20/2023,11/21/2023,273.000
1489,11/20/2023,11/21/2023,268.800
1490,11/20/2023,11/21/2023,275.000
1492,11/20/2023,11/21/2023,279.800
1495,11/20/2023,11/21/2023,285.700
1497,11/20/2023,11/21/2023,281.400
1500,11/20/2023,11/21/2023,286.300
1501,11/20/2023,11/21/2023,282.100
1503,11/20/2023,11/21/2023,270.100
1505,11/20/2023,11/21/2023,273.900
1507,11/20/2023,11/21/2023,268.200
1508,11/20/2023,11/21/2023,276.100
1511,11/20/2023,11/21/2023,274.300
1512,11/20/2023,11/21/2023,267.400
1513,11/20/2023,11/21/2023,275.100
1516,11/20/2023,11/21/2023,275.800
1517,11/20/2023,11/21/2023,263.900
1519,11/20/2023,11/21/2023,288.700
1521,11/20/2023,11/21/2023,276.000
1522,11/20/2023,11/21/2023,268.800
1524,11/20/2023,11/21/2023,253.200
1525,11/20/2023,11/21/2023,270.400
1530,11/20/2023,11/21/2023,283.000
1531,11/20/2023,11/21/2023,272.800
1532,11/20/2023,11/21/2023,276.700
1534,11/20/2023,11/21/2023,269.000
1535,11/20/2023,11/21/2023,236.700
1536,11/20/2023,11/21/2023,269.100
1537,11/20/2023,11/21/2023,281.600
1538,11/20/2023,11/21/2023,269.400
1539,11/20/2023,11/21/2023,279.300
1541,11/20/2023,11/21/2023,264.600
1545,11/20/2023,11/21/2023,272.500
1546,11/20/2023,11/21/2023,277.000
1547,11/20/2023,11/21/2023,278.400
1548,11/20/2023,11/21/2023,269.800
1550,11/20/2023,11/21/2023,259.400
1551,11/20/2023,11/21/2023,265.200
1552,11/20/2023,11/21/2023,273.600
1554,11/20/2023,11/21/2023,277.100
1555,11/20/2023,11/21/2023,279.100
1556,11/20/2023,11/21/2023,270.800
1557,11/20/2023,11/21/2023,280.700
1558,11/20/2023,11/21/2023,256.700
1559,11/20/2023,11/21/2023,275.300
1562,11/20/2023,11/21/2023,261.900
1565,11/20/2023,11/21/2023,270.900
1567,11/20/2023,11/21/2023,275.600
1568,11/20/2023,11/21/2023,271.000
1571,11/20/2023,11/21/2023,241.900
1572,11/21/2023,11/21/2023,267.700
1573,11/21/2023,11/21/2023,262.900
1575,11/21/2023,11/21/2023,255.000
1576,11/21/2023,11/21/2023,263.500
1579,11/21/2023,11/21/2023,266.000
1580,11/21/2023,11/21/2023,268.700
1586,11/21/2023,11/21/2023,265.400
1588,11/21/2023,11/21/2023,269.400
1589,11/21/2023,11/21/2023,272.500
1590,11/21/2023,11/21/2023,258.700
1592,11/21/2023,11/21/2023,278.700
1593,11/21/2023,11/21/2023,263.700
1598,11/21/2023,11/21/2023,276.100
1599,11/21/2023,11/21/2023,256.600
1600,11/21/2023,11/21/2023,265.600
1604,11/21/2023,11/21/2023,274.800
1606,11/21/2023,11/21/2023,248.600
1607,11/21/2023,11/21/2023,266.100
1609,11/21/2023,11/21/2023,278.800
1619,11/21/2023,11/21/2023,277.400
1621,11/21/2023,11/21/2023,276.400
1622,11/21/2023,11/21/2023,264.600
1628,11/21/2023,11/21/2023,279.800
1630,11/21/2023,11/21/2023,275.300
1632,11/21/2023,11/21/2023,284.200
1639,11/21/2023,11/21/2023,276.100
1642,11/21/2023,11/21/2023,278.800
1645,11/21/2023,11/22/2023,274.700
1647,11/21/2023,11/22/2023,256.800
1648,11/21/2023,11/21/2023,279.900
1650,11/21/2023,11/21/2023,267.500
1651,11/21/2023,11/21/2023,281.100
1653,11/21/2023,11/21/2023,262.800
1655,11/21/2023,11/21/2023,276.000
1656,11/21/2023,11/21/2023,270.000
1661,11/21/2023,11/21/2023,267.900
1662,11/21/2023,11/21/2023,269.100
1664,11/21/2023,11/21/2023,265.500
1665,11/21/2023,11/21/2023,267.200
1671,11/21/2023,11/21/2023,268.000
1672,11/21/2023,11/21/2023,273.400
1678,11/21/2023,11/21/2023,281.900
1680,11/21/2023,11/21/2023,277.200
1681,11/21/2023,11/21/2023,276.000
1682,11/21/2023,11/21/2023,277.200
1683,11/21/2023,11/22/2023,270.500
1684,11/21/2023,11/21/2023,267.600
1685,11/21/2023,11/21/2023,261.900
1687,11/21/2023,11/21/2023,276.800
1689,11/21/2023,11/21/2023,278.300
1690,11/21/2023,11/21/2023,266.200
1691,11/21/2023,11/21/2023,272.200
1694,11/21/2023,11/21/2023,276.700
1696,11/21/2023,11/21/2023,278.400
1697,11/21/2023,11/22/2023,279.800
1699,11/21/2023,11/22/2023,274.400
1700,11/21/2023,11/22/2023,259.500
1702,11/21/2023,11/21/2023,277.300
1703,11/21/2023,11/21/2023,273.400
1704,11/21/2023,11/22/2023,277.700
1705,11/21/2023,11/22/2023,280.100
1706,11/21/2023,11/22/2023,277.700
1707,11/21/2023,11/21/2023,269.000
1708,11/21/2023,11/22/2023,281.600
1709,11/21/2023,11/22/2023,272.400
1710,11/21/2023,11/22/2023,278.700
1711,11/21/2023,11/22/2023,275.800
1713,11/21/2023,11/22/2023,282.200
1714,11/21/2023,11/22/2023,278.800
1715,11/21/2023,11/22/2023,285.900
1716,11/21/2023,11/22/2023,273.000
1719,11/21/2023,11/22/2023,274.900
1720,11/21/2023,11/22/2023,282.100
1721,11/21/2023,11/22/2023,282.900
1723,11/21/2023,11/22/2023,263.700
1725,11/21/2023,11/22/2023,273.200
1726,11/21/2023,11/22/2023,284.000
1727,11/21/2023,11/22/2023,283.100
1728,11/21/2023,11/22/2023,280.600
1729,11/21/2023,11/22/2023,275.400
1730,11/21/2023,11/22/2023,290.200
1731,11/21/2023,11/22/2023,287.100
1733,11/21/2023,11/22/2023,283.300
1734,11/21/2023,11/22/2023,276.100
1745,11/21/2023,11/22/2023,271.800
1747,11/21/2023,11/22/2023,274.200
1748,11/21/2023,11/22/2023,280.300
1749,11/21/2023,11/22/2023,285.400
1750,11/21/2023,11/22/2023,266.300
1752,11/21/2023,11/22/2023,272.700
1753,11/21/2023,11/22/2023,266.800
1757,11/21/2023,11/22/2023,273.100
1758,11/21/2023,11/22/2023,265.600
1760,11/21/2023,11/22/2023,285.500
1761,11/21/2023,11/22/2023,269.400
1763,11/21/2023,11/22/2023,272.000
1764,11/21/2023,11/22/2023,277.000
1765,11/21/2023,11/22/2023,269.700
1766,11/21/2023,11/22/2023,282.700
1767,11/21/2023,11/22/2023,274.800
1768,11/21/2023,11/22/2023,287.800
1769,11/21/2023,11/22/2023,271.700
1771,11/21/2023,11/22/2023,271.200
1772,11/21/2023,11/22/2023,283.600
1774,11/21/2023,11/22/2023,276.400
1775,11/21/2023,11/22/2023,280.200
1777,11/21/2023,11/22/2023,260.000
1778,11/21/2023,11/22/2023,276.200
1779,11/21/2023,11/22/2023,269.400
1781,11/21/2023,11/22/2023,267.500
1782,11/21/2023,11/22/2023,276.800
1783,11/21/2023,11/22/2023,267.200
1784,11/21/2023,11/22/2023,280.600
1786,11/21/2023,11/22/2023,268.500
1787,11/21/2023,11/22/2023,266.100
1788,11/21/2023,11/22/2023,280.300
1790,11/21/2023,11/22/2023,283.300
1791,11/21/2023,11/22/2023,282.400
1793,11/21/2023,11/23/2023,268.000
1795,11/21/2023,11/22/2023,284.500
1797,11/21/2023,11/23/2023,108.000
1951,11/22/2023,11/23/2023,271.000
1952,11/22/2023,11/23/2023,274.700
1954,11/22/2023,11/23/2023,268.700
1955,11/22/2023,11/23/2023,256.000
1956,11/22/2023,11/23/2023,265.800
1957,11/22/2023,11/23/2023,266.600
1958,11/22/2023,11/23/2023,278.600
1959,11/22/2023,11/23/2023,268.900
1960,11/22/2023,11/23/2023,282.400
1964,11/22/2023,11/23/2023,260.800
1965,11/22/2023,11/23/2023,271.800
1968,11/22/2023,11/23/2023,261.100
1969,11/22/2023,11/23/2023,267.500
1970,11/22/2023,11/23/2023,283.200
1973,11/22/2023,11/23/2023,269.200
1975,11/22/2023,11/23/2023,276.700
1976,11/22/2023,11/23/2023,273.200
1979,11/22/2023,11/23/2023,266.800
1981,11/22/2023,11/23/2023,279.700
1982,11/22/2023,11/23/2023,273.000
1983,11/22/2023,11/23/2023,266.900
1986,11/22/2023,11/23/2023,268.500
1988,11/22/2023,11/23/2023,287.500
1989,11/22/2023,11/23/2023,268.500
1990,11/22/2023,11/23/2023,281.800
1991,11/22/2023,11/23/2023,266.100
1992,11/22/2023,11/23/2023,276.400
1993,11/22/2023,11/23/2023,282.400
1994,11/22/2023,11/23/2023,277.100
1995,11/22/2023,11/23/2023,265.300
1996,11/22/2023,11/23/2023,274.900
5248,11/22/2023,11/23/2023,68.200
5249,11/22/2023,11/23/2023,106.900
5250,11/22/2023,11/23/2023,280.300
1985,11/23/2023,11/27/2023,274.000
2028,11/23/2023,11/23/2023,266.500
2029,11/23/2023,11/23/2023,281.000
2030,11/23/2023,11/23/2023,278.500
2033,11/23/2023,11/23/2023,276.700
2034,11/23/2023,11/23/2023,282.500
2036,11/23/2023,11/23/2023,282.800
2038,11/23/2023,11/23/2023,282.600
2041,11/23/2023,11/23/2023,280.700
2042,11/23/2023,11/23/2023,276.500
2043,11/23/2023,11/23/2023,277.500
2044,11/23/2023,11/23/2023,284.800
2045,11/23/2023,11/23/2023,288.000
2047,11/23/2023,11/23/2023,283.500
2048,11/23/2023,11/23/2023,282.700
2050,11/23/2023,11/23/2023,281.300
2051,11/23/2023,11/23/2023,281.800
2053,11/23/2023,11/23/2023,283.100
2055,11/23/2023,11/23/2023,283.100
2056,11/23/2023,11/23/2023,282.900
2062,11/23/2023,11/23/2023,277.700
2063,11/23/2023,11/23/2023,280.000
2065,11/23/2023,11/23/2023,280.800
2069,11/23/2023,11/23/2023,284.100
2070,11/23/2023,11/23/2023,282.200
2072,11/23/2023,11/23/2023,276.500
2076,11/23/2023,11/23/2023,276.500
2079,11/23/2023,11/23/2023,276.500
2080,11/23/2023,11/23/2023,270.700
2082,11/23/2023,11/23/2023,274.000
2083,11/23/2023,11/23/2023,284.500
2085,11/23/2023,11/23/2023,281.600
2087,11/23/2023,11/23/2023,282.000
2088,11/23/2023,11/23/2023,278.800
2092,11/23/2023,11/23/2023,263.200
2094,11/23/2023,11/23/2023,283.000
2096,11/23/2023,11/23/2023,277.000
2097,11/23/2023,11/24/2023,280.800
2100,11/23/2023,11/24/2023,282.200
2102,11/23/2023,11/27/2023,122.100
2104,11/23/2023,11/24/2023,286.700
2106,11/23/2023,11/23/2023,283.200
2107,11/23/2023,11/24/2023,270.200
2108,11/23/2023,11/23/2023,277.000
2109,11/23/2023,11/23/2023,279.800
2110,11/23/2023,11/23/2023,285.600
2111,11/23/2023,11/24/2023,284.300
2112,11/23/2023,11/24/2023,276.400
2113,11/23/2023,11/24/2023,284.000
2114,11/23/2023,11/24/2023,270.200
2115,11/23/2023,11/24/2023,280.000
2121,11/23/2023,11/24/2023,273.500
2122,11/23/2023,11/24/2023,278.400
2123,11/23/2023,11/24/2023,282.800
2124,11/23/2023,11/24/2023,278.900
2125,11/23/2023,11/24/2023,287.500
2126,11/23/2023,11/24/2023,283.100
2127,11/23/2023,11/24/2023,282.100
2128,11/23/2023,11/24/2023,278.900
